First Name,Last Name,Year,Rec,Yards,TD,20+,40+,Lng,Rec 1st,1st %,Rec FUM,Targets,Position,Draft Year,College,Height (inch),Weight (lbs),BMI,ArmLength (inch),Hand Size (inch),Wing Span (inch),40 Yard Dash (s),40 Yard (MPH),20 Yard Split (s),Bench Press,QB Ball Velocity,Vertical Leap (inch),Broad Jump (inch),20 Yd Shuttle (s),Three Cone
Salvon,Ahmed,2020.0,11.0,,,,,13.0,2.0,0.182,,14.0,RB,2020.0,Washington,71,196.0,27.99,29.25,8.75,71.63,4.62,,2.69,(N/A) reps (225 lb),(N/A) (MPH),34.5,,,
Dave,Ahrens,1983.0,1.0,,,,,4.0,,,,,LB,,,,,,,,,,,,,,,,,
Kamar,Aiken,2014.0,24.0,267.0,3.0,2.0,,24.0,15.0,0.625,,32.0,WR,,,,,,,,,,,,,,,,,
Kamar,Aiken,2015.0,75.0,944.0,5.0,11.0,2.0,48.0,53.0,0.7070000000000001,1.0,127.0,WR,,,,,,,,,,,,,,,,,
Kamar,Aiken,2016.0,29.0,328.0,1.0,3.0,,29.0,18.0,0.621,,50.0,WR,,,,,,,,,,,,,,,,,
Kamar,Aiken,2017.0,15.0,133.0,,1.0,,21.0,7.0,0.467,,43.0,WR,,,,,,,,,,,,,,,,,
Kamar,Aiken,2018.0,6.0,,,,,18.0,2.0,0.33299999999999996,,7.0,WR,,,,,,,,,,,,,,,,,
Sam,Aiken,2003.0,3.0,,,,,19.0,2.0,0.667,,,WR,2003.0,"North,Carolina","73,9",209.0,27.55,31.25,10.0,,4.64,,2.7,(N/A) reps (225 lb),(N/A) (MPH),39.5,,,
Sam,Aiken,2004.0,11.0,148.0,,2.0,1.0,54.0,6.0,0.545,,,WR,2003.0,"North,Carolina","73,9",209.0,27.55,31.25,10.0,,4.64,,2.7,(N/A) reps (225 lb),(N/A) (MPH),39.5,,,
Sam,Aiken,2005.0,4.0,,,1.0,,22.0,3.0,0.75,,,WR,2003.0,"North,Carolina","73,9",209.0,27.55,31.25,10.0,,4.64,,2.7,(N/A) reps (225 lb),(N/A) (MPH),39.5,,,
Sam,Aiken,2007.0,1.0,,,,,10.0,1.0,,,2.0,WR,2003.0,"North,Carolina","73,9",209.0,27.55,31.25,10.0,,4.64,,2.7,(N/A) reps (225 lb),(N/A) (MPH),39.5,,,
Sam,Aiken,2008.0,8.0,101.0,,1.0,1.0,43.0,5.0,0.625,,11.0,WR,2003.0,"North,Carolina","73,9",209.0,27.55,31.25,10.0,,4.64,,2.7,(N/A) reps (225 lb),(N/A) (MPH),39.5,,,
Sam,Aiken,2009.0,20.0,326.0,2.0,4.0,2.0,81.0,12.0,0.6,,42.0,WR,2003.0,"North,Carolina","73,9",209.0,27.55,31.25,10.0,,4.64,,2.7,(N/A) reps (225 lb),(N/A) (MPH),39.5,,,
Sam,Aiken,2010.0,1.0,,,,,7.0,,,,1.0,WR,2003.0,"North,Carolina","73,9",209.0,27.55,31.25,10.0,,4.64,,2.7,(N/A) reps (225 lb),(N/A) (MPH),39.5,,,
Carl,Aikens,1987.0,8.0,134.0,3.0,,,32.0,,,,,WR,,,,,,,,,,,,,,,,,
Troy,Aikman,1989.0,1.0,,,,,,,,,,QB,,,,,,,,,,,,,,,,,
Troy,Aikman,1991.0,1.0,,,,,,,,,,QB,,,,,,,,,,,,,,,,,
Brandon,Aiyuk,2020.0,60.0,748.0,5.0,10.0,1.0,49.0,43.0,0.7170000000000001,,96.0,WR,2020.0,"Arizona,State",72,201.0,27.92,33.5,9.75,80.0,4.5,,2.63,11 reps (225 lb),(N/A) (MPH),40.0,128.0,,
Jay,Ajayi,2015.0,7.0,,,1.0,,20.0,5.0,0.7140000000000001,,11.0,RB,2015.0,"Boise,State","71,75",221.0,30.91,32.0,10.0,77.125,4.57,,2.66,19 reps (225 lb),(N/A) (MPH),39.0,121.0,4.1,7.1
Jay,Ajayi,2016.0,27.0,151.0,,,,15.0,8.0,0.29600000000000004,,34.0,RB,2015.0,"Boise,State","71,75",221.0,30.91,32.0,10.0,77.125,4.57,,2.66,19 reps (225 lb),(N/A) (MPH),39.0,121.0,4.1,7.1
Jay,Ajayi,2017.0,24.0,158.0,1.0,1.0,,47.0,8.0,0.33299999999999996,,34.0,RB,2015.0,"Boise,State","71,75",221.0,30.91,32.0,10.0,77.125,4.57,,2.66,19 reps (225 lb),(N/A) (MPH),39.0,121.0,4.1,7.1
Jay,Ajayi,2018.0,5.0,,,,,12.0,1.0,0.2,,6.0,RB,2015.0,"Boise,State","71,75",221.0,30.91,32.0,10.0,77.125,4.57,,2.66,19 reps (225 lb),(N/A) (MPH),39.0,121.0,4.1,7.1
Seyi,Ajirotutu,2010.0,13.0,262.0,2.0,5.0,1.0,55.0,12.0,0.9229999999999999,,23.0,WR,2010.0,"Frenso,State,CA","75,38",204.0,25.85,32.63,9.38,,4.6,17.75,2.6,14 reps (225 lb),(N/A) (MPH),36.0,115.0,4.39,7.22
Seyi,Ajirotutu,2011.0,1.0,,,,,4.0,1.0,,,2.0,WR,2010.0,"Frenso,State,CA","75,38",204.0,25.85,32.63,9.38,,4.6,17.75,2.6,14 reps (225 lb),(N/A) (MPH),36.0,115.0,4.39,7.22
Seyi,Ajirotutu,2012.0,3.0,,,1.0,,28.0,2.0,0.667,,4.0,WR,2010.0,"Frenso,State,CA","75,38",204.0,25.85,32.63,9.38,,4.6,17.75,2.6,14 reps (225 lb),(N/A) (MPH),36.0,115.0,4.39,7.22
Seyi,Ajirotutu,2013.0,3.0,,1.0,2.0,,26.0,3.0,,,4.0,WR,2010.0,"Frenso,State,CA","75,38",204.0,25.85,32.63,9.38,,4.6,17.75,2.6,14 reps (225 lb),(N/A) (MPH),36.0,115.0,4.39,7.22
Seyi,Ajirotutu,2014.0,4.0,,,,,17.0,4.0,,,12.0,WR,2010.0,"Frenso,State,CA","75,38",204.0,25.85,32.63,9.38,,4.6,17.75,2.6,14 reps (225 lb),(N/A) (MPH),36.0,115.0,4.39,7.22
Seyi,Ajirotutu,2015.0,1.0,,,,,4.0,,,,3.0,WR,2010.0,"Frenso,State,CA","75,38",204.0,25.85,32.63,9.38,,4.6,17.75,2.6,14 reps (225 lb),(N/A) (MPH),36.0,115.0,4.39,7.22
Cam,Akers,2020.0,11.0,123.0,1.0,2.0,,38.0,4.0,0.364,,14.0,RB,2020.0,"Florida,State",71,212.0,30.28,30.63,9.0,74.63,4.47,,2.62,20 reps (225 lb),(N/A) (MPH),35.5,122.0,4.42,
Jordan,Akins,2018.0,17.0,225.0,,3.0,,28.0,11.0,0.647,,25.0,TE,2018.0,"Central,Florida",75,249.0,31.87,32.5,9.5,80.625,,,,(N/A) reps (225 lb),(N/A) (MPH),,,,
Jordan,Akins,2019.0,36.0,418.0,2.0,4.0,1.0,53.0,21.0,0.583,,55.0,TE,2018.0,"Central,Florida",75,249.0,31.87,32.5,9.5,80.625,,,,(N/A) reps (225 lb),(N/A) (MPH),,,,
Jordan,Akins,2020.0,37.0,403.0,1.0,7.0,,26.0,20.0,0.541,,49.0,TE,2018.0,"Central,Florida",75,249.0,31.87,32.5,9.5,80.625,,,,(N/A) reps (225 lb),(N/A) (MPH),,,,
Mike,Akiu,1985.0,2.0,,,,,24.0,,,,,WR,,,,,,,,,,,,,,,,,
Mike,Akiu,1986.0,4.0,,,,,27.0,,,,,WR,,,,,,,,,,,,,,,,,
Charles,Alexander,1979.0,11.0,,,,,13.0,,,,,RB,,,,,,,10.375,,,,,,,,,,
Charles,Alexander,1980.0,36.0,192.0,,,,23.0,,,,,RB,,,,,,,10.375,,,,,,,,,,
Charles,Alexander,1981.0,28.0,262.0,1.0,,,65.0,,,,,RB,,,,,,,10.375,,,,,,,,,,
Charles,Alexander,1982.0,14.0,,1.0,,,14.0,,,,,RB,,,,,,,10.375,,,,,,,,,,
Charles,Alexander,1983.0,32.0,187.0,,,,14.0,,,,,RB,,,,,,,10.375,,,,,,,,,,
